timestamp,user_gained,user_lost,user_net_growth,total_users
08-03-2026, 2, 0, 2, 2
09-03-2026, 1, 1, 0, 2
10-03-2026, 0, 0, 0, 2
11-03-2026, 0, 0, 0, 2
12-03-2026, 0, 0, 0, 2
13-03-2026, 0, 0, 0, 2
14-03-2026, 0, 0, 0, 2
15-03-2026, 0, 0, 0, 2
16-03-2026, 0, 0, 0, 2
17-03-2026, 0, 0, 0, 2
18-03-2026, 0, 0, 0, 2
19-03-2026, 0, 0, 0, 2
20-03-2026, 0, 0, 0, 2
21-03-2026, 0, 0, 0, 2
22-03-2026, 0, 0, 0, 2
23-03-2026, 0, 0, 0, 2
24-03-2026, 1, 1, 0, 2
25-03-2026, 1, 0, 1, 3
26-03-2026, 2, 0, 2, 5
27-03-2026, 2, 0, 2, 7
28-03-2026, 0, 0, 0, 7
29-03-2026, 1, 0, 1, 8
30-03-2026, 1, 0, 1, 9
31-03-2026, 0, 0, 0, 9
01-04-2026, 0, 0, 0, 9
02-04-2026, 0, 0, 0, 9
03-04-2026, 0, 0, 0, 9
04-04-2026, 1, 0, 1, 10
05-04-2026, 0, 0, 0, 10
06-04-2026, 1, 0, 1, 11
07-04-2026, 0, 0, 0, 11
08-04-2026, 0, 0, 0, 11
09-04-2026, 0, 0, 0, 11
10-04-2026, 0, 0, 0, 11
11-04-2026, 1, 0, 1, 12
12-04-2026, 0, 0, 0, 12
13-04-2026, 1, 0, 1, 13
14-04-2026, 4, 0, 4, 17
15-04-2026, 0, 1, -1, 16
16-04-2026, 1, 0, 1, 17
17-04-2026, 1, 0, 1, 18
18-04-2026, 2, 0, 2, 20
19-04-2026, 5, 0, 5, 25
20-04-2026, 5, 0, 5, 30
21-04-2026, 3, 1, 2, 32
22-04-2026, 1, 0, 1, 33
23-04-2026, 3, 1, 2, 35
24-04-2026, 0, 0, 0, 35
25-04-2026, 1, 0, 1, 36
26-04-2026, 2, 0, 2, 38
27-04-2026, 1, 0, 1, 39
28-04-2026, 0, 0, 0, 39
29-04-2026, 3, 1, 2, 41
30-04-2026, 1, 0, 1, 42
01-05-2026, 3, 0, 3, 45
02-05-2026, 1, 1, 0, 45
03-05-2026, 0, 0, 0, 45
04-05-2026, 0, 0, 0, 45
05-05-2026, 5, 1, 4, 49
06-05-2026, 4, 0, 4, 53
07-05-2026, 3, 0, 3, 56
08-05-2026, 4, 0, 4, 60
09-05-2026, 0, 0, 0, 60
10-05-2026, 8, 2, 6, 66
11-05-2026, 6, 1, 5, 71
12-05-2026, 2, 0, 2, 73
13-05-2026, 1, 2, -1, 72
14-05-2026, 0, 0, 0, 72
15-05-2026, 11, 1, 10, 82
16-05-2026, 10, 1, 9, 91
17-05-2026, 12, 1, 11, 102
18-05-2026, 7, 2, 5, 107
19-05-2026, 10, 0, 10, 117
20-05-2026, 11, 1, 10, 127
21-05-2026, 6, 1, 5, 132
22-05-2026, 2, 3, -1, 131
23-05-2026, 2, 1, 1, 132
24-05-2026, 1, 1, 0, 132
25-05-2026, 4, 1, 3, 135
26-05-2026, 4, 1, 3, 138
27-05-2026, 4, 0, 4, 142
28-05-2026, 7, 0, 7, 149
29-05-2026, 2, 2, 0, 149
30-05-2026, 7, 0, 7, 156
31-05-2026, 6, 1, 5, 161
01-06-2026, 8, 1, 7, 168
02-06-2026, 5, 0, 5, 173
03-06-2026, 1, 0, 1, 174
04-06-2026, 7, 1, 6, 180
05-06-2026, 11, 1, 10, 190
06-06-2026, 3, 1, 2, 192
07-06-2026, 3, 1, 2, 194
08-06-2026, 7, 0, 7, 201
09-06-2026, 10, 1, 9, 210
10-06-2026, 7, 1, 6, 216
11-06-2026, 1, 0, 1, 217
12-06-2026, 7, 0, 7, 224
13-06-2026, 3, 0, 3, 227
14-06-2026, 3, 0, 3, 230
15-06-2026, 4, 1, 3, 233
16-06-2026, 4, 1, 3, 236
17-06-2026, 9, 0, 9, 245
18-06-2026, 5, 2, 3, 248
19-06-2026, 4, 1, 3, 251
20-06-2026, 6, 2, 4, 255
21-06-2026, 4, 0, 4, 259
22-06-2026, 4, 0, 4, 263
23-06-2026, 3, 1, 2, 265
24-06-2026, 4, 3, 1, 266
25-06-2026, 5, 0, 5, 271
26-06-2026, 4, 4, 0, 271
27-06-2026, 6, 0, 6, 277
28-06-2026, 8, 1, 7, 284
29-06-2026, 7, 2, 5, 289
30-06-2026, 5, 0, 5, 294
01-07-2026, 6, 0, 6, 300
02-07-2026, 7, 0, 7, 307
03-07-2026, 2, 0, 2, 309
04-07-2026, 4, 2, 2, 311
05-07-2026, 2, 2, 0, 311
06-07-2026, 5, 1, 4, 315
07-07-2026, 2, 1, 1, 316
08-07-2026, 3, 1, 2, 318
09-07-2026, 5, 1, 4, 322
10-07-2026, 5, 1, 4, 326
11-07-2026, 5, 2, 3, 329
12-07-2026, 7, 0, 7, 336
13-07-2026, 6, 1, 5, 341
14-07-2026, 1, 1, 0, 341
15-07-2026, 4, 0, 4, 345
16-07-2026, 4, 0, 4, 349
17-07-2026, 3, 2, 1, 350
18-07-2026, 5, 1, 1, 354
19-07-2026, 3, 1, 2, 356
